finaldays,Date,Teams,Side,Opponent,Won,Ban1,Ban2,Ban3,Ban4,Ban5,Ban6,Pick1,Pick2,Pick3,Pick4,Pick5,Pick6,Ban7,Ban8,Ban9,Ban10,Pick7,Pick8,Pick9,Pick10
-616.495,2024-01-20T20:11:00Z,100 Thieves,red,Team Liquid,TRUE,Akali,Rumble,Senna,Kalista,Varus,Lucian,Ashe,Seraphine,Yone,Jhin,Udyr,Karma,Neeko,Jarvan IV,Poppy,Nocturne,Vi,Xin Zhao,Ziggs,Riven
-615.495,2024-01-21T21:03:00Z,100 Thieves,blue,Cloud9,FALSE,Lucian,Seraphine,Kalista,Ashe,Rumble,Poppy,Senna,Varus,Karma,Nautilus,Nocturne,Udyr,Riven,LeBlanc,Aatrox,Sylas,Akali,Neeko,Gwen,Xin Zhao
-609.495,2024-01-27T21:11:00Z,100 Thieves,blue,NRG,FALSE,Rumble,Seraphine,Kalista,Karma,Udyr,Corki,Varus,Vi,Ashe,K'Sante,Rakan,Jhin,Nocturne,Gwen,Jarvan IV,Twisted Fate,Jayce,Akali,Sejuani,Azir
-608.495,2024-01-28T20:12:00Z,100 Thieves,red,Dignitas,TRUE,Seraphine,Rumble,Karma,Udyr,Nocturne,Kalista,Ashe,K'Sante,Varus,Jhin,Poppy,Senna,Corki,Twisted Fate,Gwen,Orianna,Azir,Akali,Vi,Trundle
-604.058125,2024-02-02T23:50:00Z,100 Thieves,blue,FlyQuest,FALSE,Orianna,Senna,Ashe,K'Sante,Karma,Riven,Kalista,Varus,Maokai,Renata Glasc,Aatrox,Azir,Vi,Hwei,Nocturne,Soraka,Neeko,Sylas,Viego,Olaf
-603.058125,2024-02-03T22:44:00Z,100 Thieves,red,Immortals Progressive,TRUE,Jarvan IV,Kalista,Ashe,Maokai,Karma,Varus,Senna,Orianna,Aphelios,Jayce,Tahm Kench,Milio,Lillia,Nocturne,Ivern,Aatrox,K'Sante,Zac,Rell,Poppy
-602.058125,2024-02-04T22:35:00Z,100 Thieves,red,Shopify Rebellion,TRUE,Azir,Udyr,Orianna,Kalista,Varus,Karma,K'Sante,Aatrox,Senna,Brand,Sion,Lillia,Rakan,Gwen,Milio,Yone,Olaf,Ezreal,Nautilus,Tahm Kench
-596.058125,2024-02-10T22:50:00Z,100 Thieves,blue,Team Liquid,TRUE,Udyr,Senna,Smolder,Renata Glasc,Ziggs,Yone,Varus,K'Sante,Kalista,Vi,Taliyah,Orianna,Olaf,Nocturne,Gwen,Ashe,Sejuani,Aatrox,Alistar,Taric
-595.058125,2024-02-11T21:05:00Z,100 Thieves,blue,Cloud9,TRUE,Udyr,Senna,Orianna,K'Sante,Kalista,Poppy,Varus,Zeri,Sejuani,Vi,Taliyah,Akali,Riven,Lulu,Gwen,Rakan,Olaf,Milio,Aatrox,Bard
-573.62125,2024-03-02T23:58:00Z,100 Thieves,blue,Dignitas,TRUE,Ivern,Twisted Fate,Ashe,Varus,Kalista,Vi,Senna,Nautilus,Taliyah,Tahm Kench,Renekton,Smolder,Azir,Volibear,Orianna,Jayce,K'Sante,Hwei,Trundle,Lee Sin
